method,ood_level,n,success_rate,success_rate_std,return_mean,return_std,safety_violations_mean,recoveries_attempted_mean,recovery_success_rate,time_to_recover_mean,planning_ms_mean
dreamer_lite,0.0,30,0.0,0.0,-62.88556358755323,24.266684733042744,0.0,0.0,0.0,-1.0,0.09703512799983541
dreamer_lite,0.5,30,0.0,0.0,-64.08425751753862,31.43761484856864,0.0,0.0,0.0,-1.0,0.10244463047946466
dreamer_lite,1.0,30,0.0,0.0,-57.2958532975948,31.146074578775345,0.0,0.0,0.0,-1.0,0.10278140142682873
gatsr_full,0.0,30,0.7,0.45825756949558394,232.60913942009117,122.29573378232296,25.966666666666665,0.3,0.0,-1.0,27.134776749460976
gatsr_full,0.5,30,0.6333333333333333,0.4818944098266986,213.2754273847407,121.5330656631303,22.533333333333335,0.36666666666666664,0.0,-1.0,27.519316453138355
gatsr_full,1.0,30,0.6,0.4898979485566357,215.85580396021365,117.60467099194678,24.333333333333332,0.4,0.0,-1.0,25.483135520829926
gatsr_no_cbf,0.0,30,0.7,0.45825756949558394,233.11438531928079,116.82341532113699,0.0,0.3,0.0,-1.0,29.371174974825458
gatsr_no_cbf,0.5,30,0.8333333333333334,0.3726779962499649,264.337889561293,71.9694995901801,0.0,0.16666666666666666,0.0,-1.0,30.417272162168224
gatsr_no_cbf,1.0,30,0.8333333333333334,0.3726779962499649,261.4255598006115,76.68933980188163,0.0,0.16666666666666666,0.0,-1.0,30.011509634647815
gatsr_no_graph,0.0,30,0.7,0.45825756949558394,233.02554662084265,121.6730561502759,26.066666666666666,0.3,0.0,-1.0,26.44738409260558
gatsr_no_graph,0.5,30,0.6333333333333333,0.4818944098266986,213.49914034734013,121.35072441882933,22.633333333333333,0.36666666666666664,0.0,-1.0,27.493832737809935
gatsr_no_graph,1.0,30,0.6,0.4898979485566357,216.70063498617506,116.76349893821865,24.9,0.4,0.0,-1.0,34.113716712859755
gatsr_no_layered,0.0,30,0.0,0.0,3.904406906720814,42.759132391613086,39.833333333333336,2.033333333333333,0.5081967213114754,1.2076923076923076,24.128371035724356
gatsr_no_layered,0.5,30,0.0,0.0,-3.1510081165024935,39.30822224702725,40.36666666666667,2.8,0.6428571428571429,1.1833333333333333,25.08915686469388
gatsr_no_layered,1.0,30,0.0,0.0,-2.130778172719103,41.98066586335268,40.1,2.8,0.6428571428571429,1.2760416666666667,23.56845583861067
gatsr_no_monitor,0.0,30,0.7,0.45825756949558394,232.60913942009117,122.29573378232296,25.966666666666665,0.3,0.0,-1.0,27.562434064997266
gatsr_no_monitor,0.5,30,0.6333333333333333,0.4818944098266986,213.2754273847407,121.5330656631303,22.533333333333335,0.36666666666666664,0.0,-1.0,28.639959285793914
gatsr_no_monitor,1.0,30,0.6,0.4898979485566357,215.85580396021365,117.60467099194678,24.333333333333332,0.4,0.0,-1.0,26.26481384125015
gatsr_no_recovery,0.0,30,0.7,0.45825756949558394,232.31430663992236,122.86016436034983,24.833333333333332,0.0,0.0,-1.0,27.52402062842458
gatsr_no_recovery,0.5,30,0.6333333333333333,0.4818944098266986,213.16850989495248,121.57314724731368,21.566666666666666,0.0,0.0,-1.0,26.204795575715302
gatsr_no_recovery,1.0,30,0.6,0.4898979485566357,216.42090197358138,117.00351705444307,23.633333333333333,0.0,0.0,-1.0,28.738771945130644
lqr,0.0,30,0.9,0.29999999999999993,273.12952818799266,65.91757645803368,0.0,0.0,0.0,-1.0,0.0
lqr,0.5,30,0.9,0.29999999999999993,274.83949551553513,65.06718241270649,0.0,0.0,0.0,-1.0,0.0
lqr,1.0,30,0.8333333333333334,0.3726779962499649,261.22898865306774,77.1336860743739,0.0,0.0,0.0,-1.0,0.0
mppi,0.0,30,0.0,0.0,-52.206465624525315,36.46571533295477,0.0,0.0,0.0,-1.0,18.641854572168256
mppi,0.5,30,0.0,0.0,-54.876586186305865,32.722152292647074,0.0,0.0,0.0,-1.0,17.870765391849723
mppi,1.0,30,0.0,0.0,-55.13205756545806,32.16956723000814,0.0,0.0,0.0,-1.0,17.80892926402491
random,0.0,30,0.0,0.0,-58.00727385015979,28.817295548605312,0.0,0.0,0.0,-1.0,0.0
random,0.5,30,0.0,0.0,-63.707110102146295,24.48446197826356,0.0,0.0,0.0,-1.0,0.0
random,1.0,30,0.0,0.0,-67.06000402783977,21.08363610179494,0.0,0.0,0.0,-1.0,0.0
td_mpc2_lite,0.0,30,0.0,0.0,-43.51726462800935,35.94448501569943,0.0,0.0,0.0,-1.0,16.69923086219657
td_mpc2_lite,0.5,30,0.0,0.0,-43.781642211855164,34.782120630133655,0.0,0.0,0.0,-1.0,20.078042028391163
td_mpc2_lite,1.0,30,0.0,0.0,-48.08466764204893,33.87733359124419,0.0,0.0,0.0,-1.0,17.0913978657159
